                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 3.0039,                 2.5154,                 2.9805,                0.71061,                0.68971,                0.72999,                0.36324,                 3.4288,                 1.8832,                 3.2609,             0.00049529,             0.00049529,             0.00049529
                     35,                 2.9242,                 2.5161,                 2.9213,                 0.6848,                0.68583,                0.73788,                0.36958,                 3.3676,                  1.931,                 3.2509,               0.000467,               0.000467,               0.000467
                     36,                 2.8976,                 2.4213,                 2.9271,                0.73263,                0.70278,                 0.7507,                0.38344,                 3.3122,                  1.859,                 3.1966,              0.0004387,              0.0004387,              0.0004387
                     37,                 2.9799,                 2.5069,                 2.9867,                0.73523,                0.64449,                0.71743,                0.37083,                 3.3489,                 1.8825,                  3.263,             0.00041041,             0.00041041,             0.00041041
                     38,                 2.9167,                 2.4199,                 2.9497,                0.74312,                 0.6671,                 0.7431,                0.37656,                 3.3826,                 1.8369,                 3.2494,             0.00038211,             0.00038211,             0.00038211
                     39,                 2.9197,                 2.3602,                 2.9152,                0.74812,                  0.697,                0.76504,                0.38726,                 3.3367,                 1.8113,                  3.211,             0.00035382,             0.00035382,             0.00035382
                     40,                 2.8733,                 2.3064,                 2.8821,                0.76477,                0.69039,                0.76544,                0.38554,                   3.32,                 1.7783,                 3.1891,             0.00032553,             0.00032553,             0.00032553
                     41,                 2.8307,                 1.8799,                 2.9092,                0.71662,                0.65495,                0.75091,                0.38366,                 3.3505,                 1.8707,                 3.2018,             0.00029723,             0.00029723,             0.00029723
                     42,                    2.8,                 1.7778,                 2.8914,                0.66193,                0.77212,                0.75758,                0.39475,                 3.3741,                 1.7633,                 3.1883,             0.00026894,             0.00026894,             0.00026894
                     43,                 2.8049,                 1.7589,                 2.8843,                 0.7186,                0.67983,                 0.7411,                0.39165,                 3.3108,                 1.7666,                 3.1777,             0.00024064,             0.00024064,             0.00024064
                     44,                 2.7484,                 1.7062,                 2.8648,                0.74631,                0.72768,                0.75301,                 0.4079,                 3.2879,                 1.7628,                 3.1528,             0.00021235,             0.00021235,             0.00021235
                     45,                 2.6773,                 1.7078,                 2.8447,                0.72116,                0.70835,                0.76218,                0.39371,                 3.2792,                 1.7442,                 3.1613,             0.00018406,             0.00018406,             0.00018406
                     46,                  2.706,                  1.654,                 2.8153,                0.74119,                0.72834,                0.77304,                0.41123,                 3.3017,                 1.6582,                 3.1773,             0.00015576,             0.00015576,             0.00015576
                     47,                 2.6908,                  1.612,                 2.8079,                0.78103,                0.69807,                0.77515,                0.40508,                 3.2967,                 1.6992,                 3.1793,             0.00012747,             0.00012747,             0.00012747
                     48,                 2.6901,                 1.6316,                 2.8209,                0.73501,                0.70692,                0.77669,                 0.4039,                 3.3298,                  1.672,                 3.1921,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     49,                 2.5746,                 1.5832,                 2.7876,                0.71772,                0.75058,                0.77747,                0.40963,                 3.3021,                 1.6903,                 3.1686,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     50,                 2.5967,                  1.569,                 2.7412,                0.80951,                0.68017,                0.78169,                0.41233,                 3.3092,                 1.6709,                 3.1869,             4.2584e-05,             4.2584e-05,             4.2584e-05
